ticket_text,issue_type,department
I can't talk with  a human agent,contact_human_agent,CONTACT
I have got to locate hte bills from {{Person Name}},check_invoice,INVOICE
"I cannot pay, help me to inform of a problem with payments",payment_issue,PAYMENT
I want help speaking to customer service,contact_customer_service,CONTACT
I try to see th accepted payment options,check_payment_methods,PAYMENT
where to sign up to the company nmewsletter,newsletter_subscription,SUBSCRIPTION
I'd like to see the withdrwaal fee how can i do it,check_cancellation_fee,CANCEL
I want to speak with someone,contact_human_agent,CONTACT
can you help me getting bill #85632?,get_invoice,INVOICE
I don't know how to take a quick look at invoice #12588,check_invoice,INVOICE
I don't know how to delete my platinum account,delete_account,ACCOUNT
help me check in what cases can I ask to be refunded,check_refund_policy,REFUND
is it possible to locate my bill from {{Person Name}},check_invoice,INVOICE
i want help to file a consumer claim against ur organization,complaint,FEEDBACK
uhave a free number to call customer support,contact_customer_service,CONTACT
i do not know how i can see the early termination penalties,check_cancellation_fee,CANCEL
could you help me to unsubscribe to the damn newsletter?,newsletter_subscription,SUBSCRIPTION
I don't know how to inform of problems with a signup,registration_problems,ACCOUNT
download bill from {{Person Name}},get_invoice,INVOICE
want assistance receiving a refund of money,get_refund,REFUND
I don't know how to change to the pro account,switch_account,ACCOUNT
how can i see the status of my subscription to ur newsletter,newsletter_subscription,SUBSCRIPTION
I don't know what I have to do to cancel my {{Account Type}} account,delete_account,ACCOUNT
I want help cancelling my subscription to your newsletter,newsletter_subscription,SUBSCRIPTION
I'm trying to see what hours i can call customer service,contact_customer_service,CONTACT
need to check what hours i can call customer service,contact_customer_service,CONTACT
I do not know how I can see the withdrawal fee,check_cancellation_fee,CANCEL
i want help to see when will my item arrive,delivery_period,DELIVERY
how do I submit another delivery address?,set_up_shipping_address,SHIPPING
"I want to see the cancellation charges, how do I do it?",check_cancellation_fee,CANCEL
I want help to chat with a live agent,contact_human_agent,CONTACT
modifying info on platinum account,edit_account,ACCOUNT
"I expect a refund of {{Refund Amount}} dollars, has it been processed?",track_refund,REFUND
I don't know how I can download my bill #12588,get_invoice,INVOICE
